Class;Order;Family;Species;Species;;;Female;;;Male;;;Undetermined;;
;;;;Average weight (gr);SD (gr);n;Average weight (gr);SD (gr);n;Average weight (gr);SD (gr);n;Average weight (gr);SD (gr);n
Aves;Apodiformes;Trochilidae;Chrysuronia goudoti;4;0;9;4;0;7;4;0;2;;;
Aves;Apodiformes;Trochilidae;Chrysuronia oenone;4;1;11;4;0;3;5;1;7;3;0;1
Aves;Apodiformes;Trochilidae;Chrysuronia coeruleogularis;4;0;11;4;0;5;4;0;6;;;
Aves;Apodiformes;Trochilidae;Chionomesa fimbriata;5;1;36;5;0;9;5;1;18;5;1;9
Aves;Apodiformes;Trochilidae;Hylocharis sapphirina;5;0;1;;;;5;0;1;;;
Aves;Apodiformes;Trochilidae;Polyerata rosenbergi;4;0;11;4;0;3;4;0;7;4;0;1
Aves;Apodiformes;Trochilidae;Polyerata amabilis;4;0;50;4;1;28;4;0;17;4;0;5
Aves;Apodiformes;Trochilidae;Chlorestes eliciae;4;0;4;3;0;1;4;0;3;;;
Aves;Apodiformes;Trochilidae;Chlorestes cyanus;3;0;11;4;1;2;4;0;8;3;0;1
Aves;Apodiformes;Trochilidae;Chlorestes julie;3;0;39;3;0;18;3;0;18;3;0;3
Aves;Apodiformes;Trochilidae;Chlorestes notata;3;0;13;3;0;8;3;0;5;;;
Aves;Opisthocomiformes;Opisthocomidae;Opisthocomus hoazin;756;41;6;752;38;3;780;0;1;750;50;2
Aves;Gruiformes;Aramidae;Aramus guarauna;815;62;3;788;60;2;868;0;1;;;
Aves;Gruiformes;Psophiidae;Psophia crepitans;1376;348;10;1372;348;5;1381;348;5;;;
Aves;Gruiformes;Rallidae;Porphyrio martinica;204;52;17;189;50;8;227;47;7;182;42;2
Aves;Gruiformes;Rallidae;Porphyrio flavirostris;80;10;2;;;;90;0;1;70;0;1
Aves;Gruiformes;Rallidae;Anurolimnas viridis;67;4;2;71;0;1;;;;63;0;1
Aves;Gruiformes;Rallidae;Laterallus exilis;35;0;1;35;0;1;;;;;;
Aves;Gruiformes;Rallidae;Mustelirallus albicollis;61;15;3;82;0;1;50;0;1;50;0;1
Aves;Gruiformes;Rallidae;Mustelirallus erythrops;78;0;1;;;;;;;78;0;1
Aves;Gruiformes;Rallidae;Pardirallus maculatus;150;50;2;;;;200;0;1;100;0;1
Aves;Gruiformes;Rallidae;Aramides cajaneus;417;61;10;390;40;6;435;61;3;522;0;1
Aves;Gruiformes;Rallidae;Porzana flaviventer;28;0;1;;;;28;0;1;;;
Aves;Gruiformes;Rallidae;Gallinula galeata;259;16;3;248;3;2;281;0;1;;;
Aves;Gruiformes;Rallidae;Fulica americana;700;0;1;;;;700;0;1;;;
Aves;Gruiformes;Heliornithidae;Heliornis fulica;111;3;4;106;0;1;112;2;3;;;
Aves;Charadriiformes;Charadriidae;Vanellus cayanus;63;0;1;63;0;1;;;;;;
Aves;Charadriiformes;Charadriidae;Vanellus chilensis;263;19;10;259;25;4;273;10;4;253;6;2
Aves;Charadriiformes;Charadriidae;Charadrius semipalmatus;43;9;3;48;8;2;;;;34;0;1
Aves;Charadriiformes;Charadriidae;Charadrius collaris;23;1;2;;;;22;0;1;24;0;1
Aves;Charadriiformes;Recurvirostridae;Himantopus mexicanus;155;5;2;;;;155;5;2;;;
Aves;Charadriiformes;Burhinidae;Burhinus bistriatus;702;37;2;739;0;1;666;0;1;;;
Aves;Charadriiformes;Scolopacidae;Numenius phaeopus;362;7;2;;;;355;0;1;369;0;1
Aves;Charadriiformes;Scolopacidae;Calidris minutilla;20;3;4;21;3;3;18;0;1;;;
